iter	R2	RMSE
438	0.9910731905	36302.55417
439	0.9910875045	36273.4373
440	0.9911214201	36204.35402
441	0.9911351171	36176.417
442	0.9911499612	36146.11595
443	0.991222404	35997.87323
444	0.9912432435	35955.11531
445	0.9913220437	35792.97343
446	0.9913663672	35701.44844
447	0.9914761192	35473.80158
448	0.991492426	35439.85338
449	0.9915082633	35406.85154
450	0.99154373	35332.83383
451	0.9915982623	35218.72342
452	0.991612238	35189.41925
453	0.9916254516	35161.69049
454	0.9916384064	35134.48384
455	0.9916577198	35093.8839
456	0.9916724085	35062.97451
457	0.9916844653	35037.58304
458	0.9916980401	35008.97256
459	0.9917546303	34889.44941
460	0.991801303	34790.56388
461	0.9918645849	34656.03778
462	0.9919240899	34529.06244
463	0.9919372707	34500.8734
464	0.991948903	34475.97681
465	0.9919645524	34442.45398
466	0.992167647	34004.40457
467	0.9922082414	33916.16932
468	0.9922232805	33883.4221
469	0.9922401	33846.76086
470	0.9922910534	33735.45468
471	0.9923252914	33660.45621
472	0.9923965592	33503.80518
473	0.9924102128	33473.7101
474	0.9924238127	33443.7063
475	0.9924367584	33415.12092
476	0.9924731516	33334.62951
477	0.9925099617	33253.01808
478	0.9925657724	33128.89694
479	0.9925793104	33098.71882
480	0.9925928224	33068.57113
481	0.9926260801	32994.24963
482	0.9926389765	32965.38497
483	0.9926500205	32940.64618
484	0.9926633544	32910.75314
485	0.9927050045	32817.20293
486	0.9927137121	32797.61131
487	0.9927365767	32746.1107
488	0.9928679939	32448.52063
489	0.9928796023	32422.10254
490	0.9928936546	32390.09378
491	0.9929041709	32366.11877
492	0.9929196532	32330.78979
493	0.9929315927	32303.51893
494	0.992941932	32279.88434
495	0.9930299602	32077.95531
496	0.9930930931	31932.3478
497	0.9931036539	31907.92576
498	0.9931135054	31885.12724
499	0.99321156	31657.31243
500	0.9932251636	31625.57694
501	0.9932354948	31601.45419
502	0.9932468824	31574.84353
503	0.9932668042	31528.23597
504	0.9933168532	31410.83991
505	0.9933276243	31385.51768
506	0.9933386101	31359.66945
